Nr okr.;TERYT;Powiat;L. obw.;Liczba wyborców;Otrzymane karty;Niewykorzystane karty;Wydane karty;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia;Pakiety wyborcze;Koperty zwrotne;Koperty  bez oświadczenia;Niepodpisane oświadczenie;Koperty zwrotne bez koperty na kartę do głosowania;Niezaklejona koperta na kartę do głosowania;Koperty na kartę do głosowania wrzucone do urny;Karty wyjęte z urny;Karty wyjęte z kopert na karty do głosowania;Karty nieważne;Karty ważne;Głosy nieważne;w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona;Głosy ważne;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu;;;;;
8;0812;wschowski;32;30.826;23.512;10.827;12.685;7;101;9;8;-;-;-;-;8;12.690;8;1;12.689;502;385;108;-;12.187;4.261;3.041;405;610;902;987;956;949;;76;;;;;;;;;;;;
8;0861;Gorzów Wielkopolski;68;96.739;74.891;25.703;49.188;36;300;22;20;1;1;1;1;16;49.195;16;12;49.183;1.027;723;283;-;48.156;13.757;14.325;2.186;3.018;940;4.690;4.593;4.375;;272;;;;;;;;;;;;
8;0862;Zielona Góra;76;106.820;82.532;21.672;60.859;29;467;52;47;-;1;1;-;45;60.885;45;27;60.858;867;566;260;-;59.991;14.930;17.179;2.517;2.921;1.845;6.183;4.252;9.892;;272;;;;;;;;;;;;
10;1001;bełchatowski;72;91.257;70.034;20.052;49.980;25;191;4;4;-;-;-;-;4;49.976;4;-;49.976;1.392;1.017;338;-;48.584;24.715;5.954;1.577;2.723;1.571;3.285;5.991;2.768;;;;;;;;;;;;;;
11;1002;kutnowski;79;82.119;61.534;24.946;36.588;37;164;13;13;-;-;-;-;13;36.596;13;3;36.593;1.145;760;343;-;35.448;15.041;7.877;1.187;1.093;2.187;3.058;3.004;1.647;;232;;;64;58;;;;;;;;
11;1003;łaski;41;41.176;30.565;10.428;20.137;7;150;5;5;-;-;-;-;5;20.136;5;1;20.135;597;416;161;-;19.538;8.079;3.556;706;965;1.571;1.574;1.863;1.077;;91;;;28;28;;;;;;;;
11;1004;łęczycki;49;43.147;32.439;14.746;17.693;11;66;5;5;-;-;-;-;5;17.696;5;5;17.691;767;474;268;-;16.924;7.408;2.870;502;650;1.953;1.372;1.305;698;;93;;;41;32;;;;;;;;
11;1005;łowicki;71;65.541;48.708;16.985;31.723;11;178;15;15;-;-;-;-;15;31.733;15;2;31.731;982;625;322;-;30.749;13.105;4.302;928;1.284;3.467;3.375;2.884;1.145;;117;;;38;104;;;;;;;;
9;1006;łódzki wschodni;75;56.119;43.280;12.031;31.249;16;198;18;18;-;-;-;-;18;31.258;18;-;31.258;666;469;180;-;30.592;12.650;6.732;1.193;1.405;1.274;2.428;2.631;2.279;;;;;;;;;;;;;;
10;1007;opoczyński;73;62.742;47.969;16.303;31.666;26;168;6;5;-;-;-;-;5;31.667;5;-;31.667;1.015;801;199;-;30.652;16.813;3.124;695;828;3.490;1.577;3.244;881;;;;;;;;;;;;;;
11;1008;pabianicki;93;96.445;71.593;19.273;52.319;37;238;17;15;-;-;-;-;15;52.325;15;7;52.318;1.140;781;337;-;51.178;17.548;13.206;2.238;2.471;2.067;4.588;4.635;4.036;;250;;;39;100;;;;;;;;
11;1009;pajęczański;38;42.707;31.786;11.995;19.791;13;110;-;-;-;-;-;-;-;19.783;-;1;19.782;719;490;199;-;19.063;9.901;2.512;531;669;1.421;1.330;1.965;597;;66;;;47;24;;;;;;;;
10;1010;piotrkowski;74;73.087;55.461;19.461;35.999;45;192;2;2;-;-;-;-;2;35.992;2;2;35.990;1.286;1.003;242;-;34.704;18.340;3.485;909;1.158;3.865;2.231;3.507;1.209;;;;;;;;;;;;;;
11;1011;poddębicki;51;34.478;25.421;9.873;15.548;8;128;5;4;1;-;-;-;3;15.551;3;-;15.551;609;436;154;-;14.942;6.775;2.470;414;516;2.110;1.027;988;467;;50;;;104;21;;;;;;;;
10;1012;radomszczański;89;94.236;72.075;28.938;43.137;47;246;24;23;4;-;1;-;18;43.143;18;3;43.140;1.550;1.203;284;-;41.590;19.137;6.937;1.298;1.372;3.249;3.611;3.963;2.023;;;;;;;;;;;;;;
10;1013;rawski;29;39.869;30.385;12.668;17.716;11;80;2;2;-;-;-;-;2;17.718;2;-;17.718;635;437;170;-;17.083;8.203;2.153;469;657;2.304;947;1.584;766;;;;;;;;;;;;;;
11;1014;sieradzki;94;97.160;72.951;27.236;45.714;27;207;26;25;1;-;-;-;24;45.729;24;-;45.729;1.655;1.136;474;-;44.074;18.483;9.354;1.230;1.907;3.460;3.178;4.143;1.744;;228;;;113;234;;;;;;;;
10;1015;skierniewicki;39;30.665;23.420;8.537;14.883;5;53;1;1;-;-;-;-;1;14.883;1;38;14.845;498;347;134;-;14.347;7.530;1.645;440;498;1.806;584;1.375;469;;;;;;;;;;;;;;
10;1016;tomaszowski;79;95.374;72.740;25.738;47.002;27;206;16;14;-;-;-;-;14;47.012;14;1;47.011;1.403;1.018;329;-;45.608;19.701;8.083;1.388;1.726;3.632;2.939;3.942;4.197;;;;;;;;;;;;;;
11;1017;wieluński;79;62.770;46.749;17.412;29.335;24;153;5;5;-;-;-;-;5;29.336;5;3;29.333;943;677;243;-;28.390;11.960;4.821;925;951;3.672;2.123;2.447;1.228;;104;;;102;57;;;;;;;;
11;1018;wieruszowski;38;34.046;25.117;9.959;15.158;14;113;2;1;-;-;-;-;1;15.155;1;-;15.155;523;340;175;-;14.632;5.679;2.780;432;617;1.990;905;1.506;559;;101;;;38;25;;;;;;;;
11;1019;zduńskowolski;42;53.951;40.456;13.627;26.829;14;103;8;8;1;-;-;-;7;26.827;7;-;26.827;684;467;186;-;26.143;9.826;5.603;900;1.177;2.359;1.922;2.647;1.435;;179;;;38;57;;;;;;;;
11;1020;zgierski;127;133.009;99.319;28.961;70.358;40;399;34;33;3;-;-;-;30;70.372;30;12;70.360;1.696;1.169;493;-;68.664;23.818;18.963;3.084;2.871;2.787;5.804;5.586;5.048;;394;;;60;249;;;;;;;;
9;1021;brzeziński;39;24.966;19.276;7.132;12.144;13;84;1;1;-;-;-;-;1;12.142;1;-;12.142;345;241;100;-;11.797;5.294;1.825;428;448;1.296;747;1.123;636;;;;;;;;;;;;;;
9;1061;Łódź;420;561.118;442.127;121.085;321.035;165;2.667;240;229;11;3;-;5;211;321.082;211;88;320.994;4.319;2.656;1.523;-;316.675;89.406;103.776;15.006;15.310;7.140;34.440;22.238;29.359;;;;;;;;;;;;;;
10;1062;Piotrków Trybunalski;41;60.415;46.568;13.947;32.621;21;128;13;11;-;-;-;-;11;32.625;11;-;32.625;622;435;183;-;32.003;12.132;7.051;1.038;1.231;636;4.255;3.405;2.255;;;;;;;;;;;;;;
10;1063;Skierniewice;26;38.370;29.526;7.972;21.554;13;99;11;11;-;-;-;-;11;21.560;11;3;21.557;407;276;115;-;21.150;7.563;5.741;933;967;811;1.923;1.797;1.415;;;;;;;;;;;;;;
15;1201;bocheński;76;82.213;62.676;17.494;45.181;30;274;14;13;-;-;-;-;13;45.188;13;-;45.188;1.477;1.104;317;-;43.711;24.548;5.035;1.137;2.043;3.415;1.106;4.079;2.104;;;;;;159;85;;;;;;;
15;1202;brzeski;74;73.279;56.322;18.669;37.653;32;255;8;8;1;-;-;-;7;37.650;7;-;37.650;1.283;925;309;-;36.367;19.862;4.416;825;1.947;3.280;907;3.599;1.319;;;;;;91;121;;;;;;;
12;1203;chrzanowski;90;101.996;78.452;23.621;54.830;28;219;23;23;1;-;-;-;22;54.840;22;-;54.840;1.558;1.251;264;-;53.282;21.079;13.743;2.251;2.571;1.037;4.229;4.751;3.621;;;;;;;;;;;;;;
15;1204;dąbrowski;54;47.554;36.751;15.254;21.497;22;79;6;5;-;-;-;-;5;21.496;5;-;21.496;719;499;203;-;20.777;12.464;1.427;352;882;3.141;474;1.404;555;;;;;;45;33;;;;;;;
14;1205;gorlicki;97;87.129;66.767;24.151;42.616;30;393;8;8;-;-;-;-;8;42.617;8;-;42.617;1.328;977;326;-;41.289;23.172;6.115;991;1.686;2.438;1.891;3.384;1.283;;177;;;;;152;;;;;;;
13;1206;krakowski;192;211.401;160.245;44.634;115.610;87;769;54;53;2;-;-;-;51;115.643;51;3;115.640;3.098;2.100;884;-;112.542;52.646;21.399;3.468;6.344;5.796;4.638;9.089;8.543;;;;;;322;297;;;;;;;
14;1207;limanowski;102;97.881;74.873;21.482;53.389;44;367;24;23;-;-;-;-;23;53.402;23;-;53.402;1.883;1.450;408;-;51.519;34.384;5.223;997;1.831;2.619;845;3.997;1.243;;253;;;;;127;;;;;;;
13;1208;miechowski;65;40.793;31.262;13.220;18.041;9;103;2;2;-;-;-;-;2;18.042;2;-;18.042;546;363;156;-;17.496;8.589;2.004;451;781;2.159;1.132;1.695;604;;;;;;52;29;;;;;;;
12;1209;myślenicki;82;96.484;73.192;19.750;53.440;25;311;54;53;-;1;1;-;52;53.480;52;-;53.480;1.582;1.252;267;-;51.898;31.292;7.378;1.183;2.638;1.216;1.353;4.127;2.711;;;;;;;;;;;;;;
14;1210;nowosądecki;168;162.019;123.732;33.217;90.515;79;1.323;23;22;-;-;-;-;22;90.511;22;-;90.511;2.985;2.139;766;-;87.526;58.072;8.934;1.673;3.641;4.033;1.574;6.622;2.362;;366;;;;;249;;;;;;;
14;1211;nowotarski;154;147.583;113.512;45.184;68.328;37;897;25;25;-;-;-;-;25;68.340;25;-;68.340;2.520;1.838;607;-;65.820;39.127;9.692;1.429;2.670;2.454;1.423;5.533;2.983;;317;;;;;192;;;;;;;
13;1212;olkuski;87;92.349;70.625;21.896;48.729;27;223;12;12;1;-;-;-;11;48.733;11;3;48.730;1.228;924;274;-;47.502;20.097;9.395;1.465;2.519;1.494;4.415;5.375;2.538;;;;;;98;106;;;;;;;
12;1213;oświęcimski;105;123.988;94.923;23.863;71.058;54;232;77;77;-;-;-;-;77;71.116;77;1;71.115;2.208;1.733;352;-;68.907;29.968;16.312;2.587;2.801;2.092;4.949;5.987;4.211;;;;;;;;;;;;;;
15;1214;proszowicki;41;35.367;27.015;11.574;15.441;20;53;-;-;-;-;-;-;-;15.438;-;-;15.438;525;408;106;-;14.913;6.333;1.482;273;460;3.110;520;2.340;333;;;;;;25;37;;;;;;;
12;1215;suski;60;66.320;50.729;16.585;34.144;18;286;8;7;1;-;-;-;6;34.142;6;1;34.141;1.265;1.010;234;-;32.876;18.850;4.999;794;1.509;1.470;1.182;2.603;1.469;;;;;;;;;;;;;;
15;1216;tarnowski;158;157.495;120.578;40.523;80.055;57;410;57;57;1;-;-;-;56;80.092;56;5;80.087;2.904;2.143;639;-;77.183;45.263;9.179;1.613;3.162;6.185;1.872;7.145;2.306;;;;;;273;185;;;;;;;
14;1217;tatrzański;54;53.826;40.821;14.054;26.767;26;1.337;34;33;1;-;-;-;32;26.788;32;-;26.788;684;487;174;-;26.104;14.079;5.424;606;1.064;621;669;1.884;1.358;;332;;;;;67;;;;;;;
12;1218;wadowicki;105;125.977;96.242;29.496;66.746;57;339;24;23;1;-;-;-;22;66.755;22;-;66.755;2.141;1.727;363;-;64.614;32.024;13.022;2.025;2.570;2.411;2.760;6.083;3.719;;;;;;;;;;;;;;
15;1219;wielicki;82;93.114;70.788;19.592;51.194;16;408;19;17;-;2;-;-;15;51.201;15;-;51.201;1.234;892;317;-;49.967;22.650;10.040;1.490;2.954;2.460;1.633;4.860;3.592;;;;;;188;100;;;;;;;
13;1261;Kraków;494;594.326;459.209;89.581;369.481;217;9.036;468;456;12;14;-;1;442;369.789;442;69;369.720;4.492;2.671;1.614;-;365.228;128.275;100.760;15.669;24.802;5.195;24.458;23.220;41.137;;;;;;900;812;;;;;;;
14;1262;Nowy Sącz;53;65.857;50.906;12.006;38.900;26;222;19;17;1;-;-;-;16;38.901;16;-;38.901;698;496;191;-;38.203;19.176;7.921;931;2.487;764;1.522;2.898;2.239;;161;;;;;104;;;;;;;
15;1263;Tarnów;74;90.581;70.786;21.331;49.455;50;266;46;46;1;-;-;-;45;49.488;45;5;49.483;760;563;178;-;48.723;20.503;11.308;1.392;2.318;1.961;3.421;4.578;3.024;;;;;;125;93;;;;;;;
17;1401;białobrzeski;24;26.932;20.508;7.852;12.656;6;87;4;4;-;-;-;-;4;12.660;4;-;12.660;498;348;124;-;12.162;6.630;1.270;237;390;1.902;397;796;432;;86;;;;;22;;;;;;;
16;1402;ciechanowski;58;72.931;55.850;23.109;32.740;24;154;7;6;-;-;-;-;6;32.741;6;3;32.738;1.027;714;282;-;31.711;13.758;5.052;857;1.282;3.110;3.043;3.202;1.407;;;;;;;;;;;;;;
18;1403;garwoliński;102;85.748;65.394;20.303;45.091;22;247;7;7;1;-;-;-;6;45.089;6;-;45.089;1.352;927;386;-;43.737;26.133;4.944;1.062;1.533;3.171;1.372;3.544;1.624;166;;63;;;125;;;;;;;;
16;1404;gostyniński;49;37.857;29.203;11.976;17.227;12;71;7;7;-;-;-;-;7;17.232;7;-;17.232;654;435;216;-;16.578;7.490;2.879;535;548;1.850;1.136;1.449;691;;;;;;;;;;;;;;
20;1405;grodziski;55;69.756;53.905;12.318;41.564;28;452;32;31;-;-;-;-;31;41.534;31;3;41.531;740;478;248;-;40.791;14.801;10.441;1.783;1.881;1.698;2.512;3.084;4.284;;307;;;;;;;;;;;;
17;1406;grójecki;79;79.533;60.273;21.773;38.499;33;266;10;10;-;-;-;-;10;38.507;10;-;38.507;1.161;836;294;-;37.346;15.693;5.071;999;1.522;7.048;1.924;3.137;1.686;;210;;;;;56;;;;;;;
17;1407;kozienicki;57;51.186;39.364;14.524;24.839;35;167;10;10;-;-;-;-;10;24.849;10;-;24.849;725;538;158;-;24.124;12.426;4.283;700;963;1.327;1.200;2.022;974;;174;;;;;55;;;;;;;
20;1408;legionowski;61;85.984;66.576;13.543;53.007;28;467;61;60;1;-;-;-;59;53.077;59;2;53.075;821;555;240;-;52.254;18.402;16.686;1.872;2.316;1.343;3.330;3.549;4.342;;414;;;;;;;;;;;;
17;1409;lipski;41;29.422;22.700;11.355;11.345;8;70;1;1;-;-;-;-;1;11.345;1;-;11.345;425;282;136;-;10.920;4.960;1.521;274;397;1.566;821;1.016;284;;60;;;;;21;;;;;;;
18;1410;łosicki;33;26.130;19.976;7.652;12.323;14;122;1;1;-;-;-;-;1;12.321;1;-;12.321;336;232;91;-;11.985;6.498;1.035;277;574;1.614;592;934;377;22;;20;;;42;;;;;;;;
18;1411;makowski;50;37.122;28.531;11.533;16.998;10;123;1;1;-;-;-;-;1;16.995;1;-;16.995;643;419;205;-;16.352;8.569;1.794;391;607;2.413;913;1.131;431;47;;15;;;41;;;;;;;;
18;1412;miński;105;117.513;89.413;24.669;64.744;28;487;34;34;3;-;-;-;31;64.759;31;3;64.756;1.548;1.057;446;-;63.208;27.503;13.319;2.211;3.099;3.706;3.184;5.656;4.097;153;;145;;;135;;;;;;;;
16;1413;mławski;60;58.628;44.721;19.831;24.890;17;124;6;6;-;-;-;-;6;24.890;6;2;24.888;1.004;721;239;-;23.884;10.320;3.493;702;1.258;2.996;1.863;2.311;941;;;;;;;;;;;;;;
20;1414;nowodworski;52;62.808;48.468;17.248;31.220;29;272;8;8;-;-;-;-;8;31.221;8;-;31.221;851;606;231;-;30.370;12.153;7.388;1.157;1.402;1.627;2.141;2.393;1.860;;249;;;;;;;;;;;;
18;1415;ostrołęcki;90;69.925;53.600;23.765;29.835;12;115;7;7;-;-;-;-;7;29.838;7;-;29.838;1.133;748;380;-;28.705;15.631;3.117;625;1.185;3.615;771;2.793;785;77;;36;;;70;;;;;;;;
18;1416;ostrowski;72;59.767;45.721;17.373;28.348;49;146;26;26;1;1;-;-;24;28.367;24;-;28.367;698;468;205;-;27.669;16.047;2.603;598;958;3.693;953;1.773;878;85;;20;;;61;;;;;;;;
20;1417;otwocki;81;96.343;74.191;15.711;58.476;35;473;18;18;-;-;-;-;18;58.480;18;6;58.474;1.171;743;362;-;57.303;24.999;11.964;2.108;2.609;3.051;2.860;4.550;4.767;;395;;;;;;;;;;;;
20;1418;piaseczyński;112;130.834;101.012;19.715;81.297;34;1.111;102;100;6;-;1;-;93;81.372;93;7;81.365;1.366;897;415;-;79.999;26.306;21.690;3.055;3.682;3.601;4.848;5.392;10.931;;494;;;;;;;;;;;;
16;1419;płocki;109;88.283;67.315;27.666;39.649;22;144;12;11;-;-;-;-;11;39.644;11;2;39.642;1.673;1.245;409;-;37.969;17.303;4.187;1.165;1.371;6.683;2.548;3.096;1.616;;;;;;;;;;;;;;
16;1420;płoński;74;71.139;54.536;25.455;29.081;19;231;11;11;-;-;-;-;11;29.085;11;-;29.085;1.145;799;318;-;27.940;12.520;4.125;924;1.126;3.317;2.051;2.383;1.494;;;;;;;;;;;;;;
20;1421;pruszkowski;85;124.123;95.569;16.226;79.345;43;761;58;57;2;-;-;-;55;79.353;55;3;79.350;1.144;773;324;-;78.206;27.817;21.125;3.267;3.924;2.169;4.735;5.353;9.269;;547;;;;;;;;;;;;
16;1422;przasnyski;61;42.235;32.490;14.275;18.215;10;101;-;-;-;-;-;-;-;18.212;-;-;18.212;671;481;170;-;17.541;9.073;2.542;397;631;1.820;967;1.515;596;;;;;;;;;;;;;;
17;1423;przysuski;37;35.354;26.867;9.328;17.539;38;137;3;3;-;-;-;-;3;17.538;3;-;17.538;666;460;198;-;16.872;8.402;1.152;257;640;4.460;464;928;364;;178;;;;;27;;;;;;;
18;1424;pułtuski;56;41.280;31.545;10.857;20.689;37;186;4;2;-;-;-;-;2;20.688;2;-;20.688;726;507;195;-;19.962;9.249;1.835;456;602;4.928;819;1.395;592;34;;21;;;31;;;;;;;;
17;1425;radomski;114;119.355;91.002;33.679;57.321;31;221;8;8;-;-;-;-;8;57.317;8;3;57.314;1.933;1.424;474;-;55.381;30.143;7.431;1.353;2.049;4.422;2.180;4.799;2.356;;472;;;;;176;;;;;;;
18;1426;siedlecki;71;64.930;49.356;17.032;32.324;21;126;5;4;-;-;-;-;4;32.327;4;-;32.327;943;630;276;-;31.384;17.514;2.476;652;1.625;3.995;918;2.807;1.118;89;;40;;;150;;;;;;;;
16;1427;sierpecki;50;42.598;32.521;14.469;18.052;31;72;1;1;-;-;-;-;1;18.052;1;1;18.051;751;527;216;-;17.300;8.237;2.106;582;682;2.177;1.528;1.234;754;;;;;;;;;;;;;;
16;1428;sochaczewski;65;67.714;51.318;17.987;33.330;32;181;16;16;-;-;-;-;16;33.343;16;1;33.342;795;569;217;-;32.547;14.718;4.686;1.209;1.348;4.145;1.909;2.542;1.990;;;;;;;;;;;;;;
18;1429;sokołowski;50;45.682;35.026;11.028;23.998;22;154;4;3;-;-;-;-;3;23.996;3;2;23.994;631;400;218;-;23.363;12.326;2.251;511;820;3.490;931;1.846;980;69;;60;;;79;;;;;;;;
17;1430;szydłowiecki;29;32.350;24.699;9.966;14.733;20;52;1;-;-;-;-;-;-;14.731;-;-;14.731;655;488;151;-;14.076;7.670;2.263;388;509;979;560;1.151;434;;83;;;;;39;;;;;;;
20;1432;warszawski zachodni;69;86.366;66.451;13.611;52.840;20;586;62;60;3;-;-;-;57;52.879;57;13;52.866;894;600;277;-;51.972;19.211;14.136;1.997;2.541;1.532;2.749;3.507;5.896;;403;;;;;;;;;;;;
18;1433;węgrowski;56;54.373;41.418;14.884;26.534;22;203;3;2;-;-;-;-;2;26.532;2;-;26.532;859;546;289;-;25.673;13.726;3.592;699;922;2.449;1.146;2.012;870;63;;60;;;134;;;;;;;;
20;1434;wołomiński;153;176.461;135.843;34.146;101.697;42;789;43;41;1;-;-;-;40;101.705;40;11;101.694;1.973;1.370;544;-;99.721;46.666;19.797;3.656;5.231;3.645;4.599;7.590;7.749;;788;;;;;;;;;;;;
18;1435;wyszkowski;66;58.149;44.279;15.872;28.407;24;202;11;11;-;-;-;-;11;28.416;11;-;28.416;870;534;271;-;27.546;14.165;3.484;698;1.101;3.008;1.009;2.510;1.422;52;;45;;;52;;;;;;;;
17;1436;zwoleński;37;29.817;22.846;9.636;13.210;9;98;2;2;-;-;-;-;2;13.209;2;-;13.209;532;374;149;-;12.677;6.536;1.452;301;553;1.898;499;1.024;304;;68;;;;;42;;;;;;;
16;1437;żuromiński;29;32.305;24.702;11.662;13.040;13;56;1;1;-;-;-;-;1;13.040;1;1;13.039;543;401;133;-;12.496;5.315;1.639;285;350;2.072;1.693;843;299;;;;;;;;;;;;;;
16;1438;żyrardowski;61;59.714;45.559;15.117;30.442;13;210;11;11;-;-;-;-;11;30.447;11;1;30.446;832;599;228;-;29.614;12.976;6.409;1.124;1.355;1.029;2.219;2.354;2.148;;;;;;;;;;;;;;
18;1461;Ostrołęka;29;41.727;32.198;10.450;21.748;13;103;15;15;-;-;-;-;15;21.759;15;-;21.759;406;252;145;-;21.353;9.893;4.229;617;1.134;881;1.343;2.076;1.045;55;;20;;;60;;;;;;;;
16;1462;Płock;70;97.815;75.157;21.573;53.585;25;200;25;23;1;1;-;-;21;53.583;21;1;53.582;960;657;303;-;52.622;19.721;12.235;2.282;2.263;2.795;5.483;4.328;3.515;;;;;;;;;;;;;;
17;1463;Radom;114;170.089;130.461;37.132;93.327;29;458;66;60;2;-;-;-;58;93.344;58;11;93.333;1.549;1.016;474;-;91.784;38.298;23.889;2.694;3.747;2.331;5.213;8.276;6.399;;719;;;;;218;;;;;;;
18;1464;Siedlce;43;60.755;46.605;11.861;34.744;18;200;31;31;2;-;-;-;29;34.771;29;-;34.771;468;303;160;-;34.303;14.479;6.179;1.167;2.172;1.433;2.376;2.901;3.167;133;;37;;;259;;;;;;;;
19;1465;Warszawa;887;1.361.838;1.061.693;130.994;930.621;501;19.485;1.317;1.271;78;2;-;-;1.193;931.020;1.193;396;930.624;8.979;5.106;3.363;-;921.645;268.999;269.413;51.188;45.933;7.085;85.710;58.364;130.681;;;2.574;;;;;;1.698;;;;;
19;1499;Zagranica;250;199.451;194.164;48.114;146.043;-;4.562;35.672;30.544;1.697;274;28;57;28.875;174.986;29.036;181;174.805;1.235;647;464;-;173.570;58.343;32.259;9.475;21.767;797;7.956;26.573;15.948;;;186;;;;;;266;;;;;
21;1601;brzeski;80;72.717;55.778;22.564;33.211;23;152;17;16;2;-;-;-;14;33.224;14;-;33.224;909;661;226;-;32.315;10.645;7.074;898;1.068;1.240;1.861;7.166;1.964;166;;;;;116;;117;;;;;;
21;1602;głubczycki;53;38.598;29.857;14.117;15.740;21;92;6;6;-;-;-;-;6;15.743;6;-;15.743;552;375;155;-;15.191;6.581;3.694;369;501;561;774;1.629;841;73;;;;;40;;128;;;;;;
21;1603;kędzierzyńsko-kozielski;64;76.429;58.695;25.754;32.941;21;125;20;19;2;2;-;1;17;32.956;17;-;32.956;1.113;777;292;-;31.843;7.709;9.454;920;1.371;818;2.420;3.605;2.106;129;;;;;76;;3.235;;;;;;
21;1604;kluczborski;62;54.231;41.807;19.476;22.331;17;94;6;5;-;-;-;-;5;22.336;5;-;22.336;661;473;173;-;21.675;6.794;5.742;626;962;1.476;1.405;1.986;1.452;88;;;;;40;;1.104;;;;;;
21;1605;krapkowicki;58;52.323;39.986;20.614;19.372;8;88;4;3;-;-;-;-;3;19.368;3;-;19.368;711;492;193;-;18.657;3.554;5.140;604;844;343;829;2.068;1.181;221;;;;;23;;3.850;;;;;;
21;1606;namysłowski;56;34.589;26.577;11.385;15.192;6;72;8;8;-;-;-;-;8;15.198;8;-;15.198;462;314;134;-;14.736;5.207;4.088;438;631;1.017;981;1.348;817;66;;;;;25;;118;;;;;;
21;1607;nyski;126;114.889;88.701;39.229;49.471;40;294;31;31;3;1;-;-;27;49.488;27;11;49.477;1.512;1.081;397;-;47.965;16.639;11.158;1.278;1.525;2.862;3.455;7.564;2.925;226;;;;;77;;256;;;;;;
21;1608;oleski;58;53.730;40.951;19.339;21.612;11;199;10;10;-;-;-;-;10;21.621;10;-;21.621;889;508;279;-;20.732;5.867;4.542;642;851;1.106;1.686;2.017;1.531;91;;;;;44;;2.355;;;;;;
21;1609;opolski;125;108.005;82.398;39.999;42.399;19;177;22;22;1;-;-;-;21;42.408;21;-;42.408;1.548;1.060;373;-;40.860;8.242;10.615;1.189;1.550;1.064;1.991;4.885;3.010;239;;;;;91;;7.984;;;;;;
21;1610;prudnicki;72;45.538;35.133;16.209;18.924;12;85;10;10;-;-;-;-;10;18.933;10;-;18.933;548;389;154;-;18.385;5.580;4.187;448;639;622;884;2.872;923;70;;;;;40;;2.120;;;;;;
21;1611;strzelecki;73;63.042;48.379;24.503;23.876;7;85;16;16;-;-;-;-;16;23.887;16;-;23.887;900;583;260;-;22.987;5.100;6.125;618;987;413;1.246;2.310;1.302;99;;;;;45;;4.742;;;;;;
21;1661;Opole;73;94.840;74.281;20.557;53.722;31;494;50;49;7;-;2;-;40;53.732;40;40;53.692;790;452;296;-;52.902;12.008;16.912;2.172;2.417;942;5.309;5.083;6.100;304;;;;;134;;1.521;;;;;;
22;1801;bieszczadzki;30;17.985;13.934;6.630;7.304;2;147;5;5;1;-;-;-;4;7.307;4;1;7.306;237;160;55;19;7.069;3.111;1.290;211;246;564;583;632;374;33;25;;;;;;;;;;;;
22;1802;brzozowski;59;52.840;40.746;15.760;24.986;63;161;10;10;-;-;-;-;10;24.994;10;-;24.994;863;590;193;49;24.131;15.703;1.845;460;990;1.613;669;1.791;537;435;88;;;;;;;;;;;;
23;1803;dębicki;109;107.356;82.711;26.955;55.756;30;224;28;28;-;-;-;-;28;55.775;28;2;55.773;1.578;1.093;455;-;54.195;31.711;7.714;1.164;2.454;2.647;1.708;4.688;1.613;;301;;;;102;93;;;;;;;
22;1804;jarosławski;114;97.731;75.112;27.398;47.714;63;221;5;5;-;-;-;-;5;47.704;5;-;47.704;1.660;999;530;76;46.044;24.924;5.702;1.035;2.022;4.153;1.526;4.593;1.621;219;249;;;;;;;;;;;;
22;1805;jasielski;120;92.902;72.008;25.961;46.047;60;211;23;23;2;-;-;-;21;46.065;21;-;46.065;1.336;870;364;72;44.729;26.833;5.303;930;1.988;2.211;1.613;3.856;1.434;379;182;;;;;;;;;;;;
23;1806;kolbuszowski;64;49.697;38.478;14.462;24.016;23;84;12;12;-;-;-;-;12;24.028;12;-;24.028;683;458;198;-;23.345;15.543;1.702;410;1.318;1.200;571;1.896;487;;141;;;;54;23;;;;;;;
22;1807;krośnieński;103;90.507;69.540;25.952;43.588;31;604;32;32;1;-;-;-;31;43.607;31;-;43.607;1.322;900;345;57;42.285;23.508;5.085;936;1.753;2.907;1.636;4.327;1.520;398;215;;;;;;;;;;;;
