Nr okr.;TERYT;Powiat;L. obw.;Liczba wyborców;Otrzymane karty;Niewykorzystane karty;Wydane karty;Liczba wyborców głosujących przez pełnomocnika;Liczba wyborców głosujących na podstawie zaświadczenia;Pakiety wyborcze;Koperty zwrotne;Koperty  bez oświadczenia;Niepodpisane oświadczenie;Koperty zwrotne bez koperty na kartę do głosowania;Niezaklejona koperta na kartę do głosowania;Koperty na kartę do głosowania wrzucone do urny;Karty wyjęte z urny;Karty wyjęte z kopert na karty do głosowania;Karty nieważne;Karty ważne;Głosy nieważne;w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list;w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata;w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona;Głosy ważne;1 - Komitet Wyborczy Prawo i Sprawiedliwość;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborców „Kukiz'15”;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborców JOW Bezpartyjni;10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka;16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu;;;;;
3;0220;trzebnicki;54;65.796;50.064;19.392;30.671;14;257;12;12;-;-;-;-;12;30.672;12;1;30.671;900;669;209;-;29.771;10.351;8.422;1.140;1.428;1.524;1.637;2.655;2.360;;172;;;;82;;;;;;;;
2;0221;wałbrzyski;50;46.301;35.501;15.593;19.907;15;293;10;10;1;-;-;-;9;19.915;9;-;19.915;712;552;153;-;19.203;5.272;7.252;719;997;628;1.626;1.460;1.107;142;;;;;;;;;;;;;
3;0222;wołowski;34;39.438;30.241;12.856;17.385;4;72;9;9;-;-;-;-;9;17.393;9;-;17.393;671;472;181;-;16.722;6.075;5.259;575;649;486;1.077;1.530;950;;85;;;;36;;;;;;;;
3;0223;wrocławski;85;101.457;76.907;21.473;55.432;26;581;39;38;3;-;-;-;35;55.464;35;5;55.459;1.336;899;388;-;54.123;17.260;15.015;2.042;2.717;2.208;2.565;5.203;6.638;;354;;;;121;;;;;;;;
2;0224;ząbkowicki;74;54.640;41.846;18.802;23.044;28;136;10;9;-;-;-;-;9;23.053;9;-;23.053;856;572;186;-;22.197;7.737;6.651;688;679;1.316;1.544;2.125;1.220;237;;;;;;;;;;;;;
1;0225;zgorzelecki;87;74.143;57.082;24.399;32.683;15;199;14;14;-;-;-;-;14;32.692;14;-;32.692;1.107;830;251;-;31.585;11.396;7.551;1.279;1.340;714;3.970;3.557;1.778;;;;;;;;;;;;;;
1;0226;złotoryjski;43;36.422;27.895;12.794;15.101;6;68;-;-;-;-;-;-;-;15.097;-;-;15.097;571;430;124;-;14.526;5.046;3.958;581;667;659;1.368;1.265;982;;;;;;;;;;;;;;
1;0261;Jelenia Góra;46;65.949;50.886;17.646;33.240;20;456;18;18;1;-;-;-;17;33.249;17;-;33.249;632;386;239;-;32.617;8.824;10.353;1.202;1.320;785;3.751;2.589;3.793;;;;;;;;;;;;;;
1;0262;Legnica;49;78.856;60.384;20.699;39.685;11;231;34;30;1;-;-;-;29;39.702;29;-;39.702;741;496;218;-;38.961;13.340;10.308;1.358;1.699;757;4.463;3.690;3.346;;;;;;;;;;;;;;
3;0264;Wrocław;306;500.890;377.848;74.406;303.459;140;6.077;372;354;12;-;-;-;342;303.661;342;113;303.548;3.693;2.107;1.494;-;299.855;86.434;94.866;14.148;17.303;3.280;18.941;24.848;37.975;;1.342;;;;718;;;;;;;;
